Class,Comment,Sentiment
Food,"This is an excellent product, both tastey and priced right. It's difficult to find this meal in regular local grocery stores, so I was thrilled to find it.",Positive
Food,"I am very disappointed after drinking my first cup of this tea. I wish I would have read the reviews. I love Earl Grey because of the fresh flavor of bergamot, but this tea does not even have a hint of bergamot!",Positive
Maintainance,"In karnataka state, ranibennur is biggest city in haveri dist, but ranibennur railway station not good basic facility, no purified water center, no railway scheduled led display, no platform railway coach led display, no waiting room, resevation counter not open continues.",Negative
Maintainance,"It even has braille display for the visually impaired, a smoke-detection system, baby nappy changing pads, tea and coffee vending machines and a refrigerator to store food brought from home, and an oven to heat it.",Neutral
Food,The applesauce is not decent tasting with its low number of ingredients.,Negative
Clean,travellers generally do not flush after using toilet so it should be stopped. otherwise cleaning service is good.,Positive
Maintainance,"I am requesting you to listen my complaint on train window glass broken and are becoming very danger especially for children, when children unknowingly keeping their hands in window,those broken glasses can cut fingers.",Negative
Food,I previously tried other products and was generally satisfied with the quality but not the price.,Positive
Food,Quick and easy! Had similar Upma in Guest Houses in my city. You can use fully cooked one and have a good meal in minutes. ,Positive
Police,"In a country where crime against women and children is 'rampant', the Indian Railways is taking steps to ensure that women feel secure while travelling in trains. Now, women won't have to depend on helpline numbers or chain-pulling.",Positive
Maintainance,Specification for 4500/5000 HP Dual Mode locomotive for passenger service,Neutral
Food,"It's balanced, it's tasty, it's filling, it's good for you ",Positive
Food,Good meal  Another ready meal for satisfying my hunger.,Positive
Maintainance,Design modification of HTSC FAB-II fabricated bogie frame for HHP locomotives,Neutral
Food,"OMG, things little treasures are wonderful!!  I LOVE these bars. ",Positive
Police,"SLL Crimes (Cases Reported under Indian Railways Act, 1989).",Neutral
Maintainance,Development of Low Weight-Low Height(LWLH) Bogie (25Tons axle load),Neutral
Maintainance,"Apart from this, automatic curtains have been installed on the windows of the train coaches. The speciality about the curtains is that they are fitted between the two glasses of the window. With the help of a button, it can be raised to up as well as down.",Negative
Food,"hard ,not soft cookies, with a ginger flavor inside and a chocolate coating.  Not Yum!",Negative
Food,Not a Great taste!  My family won't eat some food products ordered by me.,Negative
Police,The aims of the paper include a discussion of Crime Prevention Through Environmental Design (CPTED) and current policy initiatives for reducing crime and the fear of crime on the railways.,Neutral
Food,I defenitely recommend this Two egg curry as it has perfect flavours and taste. Comes fresh and very fast.,Positive
Police,"This could explain the overall increase in serious crimes from 1,182 cases in the first half of last year to 3,848 cases this year.",Negative
Food,I ordered non-veg thali for lucnh and found not good for health as it was very oily.,Negative
Food,I never in my life tasted such a good indian food its crazy good! ,Positive
Police,"The railway police man given the duty to provide the security and avoid any illegal action to happen are self one of the major source of crime in the railways, as they take unfair advantage of thier powers.",Negative
Food,"I'm not 100% certain this is the same product sold as advertised, but this is the only place I could find it good.",Positive
Food,"Some puddings are just sweet enough. Not these. These were too sweet for me. If that's what you like, give them a try.",Positive
Food,"In the past, I would have to buy a large quantity of baker's  cookies.  I love the small quantity and it worked just fine in my special cookies.",Positive
Food,I purchased these for my father. He used to eat eggs. ,Neutral
Police,"Citing increasing crime against passengers on trains, particularly theft, robbery and crime against women, the Railway Protection Force (RPF) has sought permission from the Railway Ministry to widen their powers to include filing FIRs and investigating cases.",Positive
Police,The security of passengers and their belongings in the running trains and railway premises is the shared responsibility of the Railway Protection Force (RPF) and the Government Railway Police (GRP).,Neutral
Maintainance,It is better to change the system of opening and closing train window doors and help people avoid accidents.,Positive
Maintainance,"WiFi facility will be available onboard, along with comfortable seats for the passengers.",Positive
Maintainance,"Now in the modern train like Vistadome coach train, these trains have see-through roofs and large side windows that enable passengers to experience a panoramic view of the surroundings.",Positive
Food,A very convenient meal This package of railway food is convenient delivered to your coach.,Positive
Police,robbers injured two textiles engineers and left them at Tejgaon Railway Station in the early morning while they were travelling to Joydevpur by Turag Express from Kamalapur Railway Station.,Positive
Food,"Very rarely do I write reviews, but felt satisfied with food quality.",Positive
Police,"Earlier in May, a woman and her son were thrown off a running train allegedly by a man who robbed her of her money and belongings.",Negative
Food,Ordered a green tea from the railway pentry but it's taste was sour.,Negative
Food,"Hoping there is no MSG in this, this tastes extremely good when I tried. I used to eat fried chicken and other chicken dishes.",Negative
Food,I would recommend this food meal to everyone.,Neutral
Food,"Even with small containers, they don't fill them up.  These little tins are less than half filled and at the price charged it seems a rip-off. ",Negative
Food,I tried this and I found it too salty.Not good for health.,Positive
Food,"The bottle seal was broken when I got that, which should be reviewed.",Negative
Clean,greenry on stations is helpful for clean and healthy environment.,Positive
Police,Armed police battalion and Railway Nirapatta Bahini are assisting the GRP in ensuring security of the passengers.,Neutral
Food,It is okay.  I can go out of my way to buy it again,Positive
Maintainance,Introduction of EMU train sets,Neutral
Food,This product is bad for you!!  I bought this assuming that Poories are good but failed.,Negative
Food,The quality of the food has declined drastically.,Neutral
Clean,garbage was cleaned by workers in my coach.happy to see this,Neutral
Food,Wondering what the uproar over the labeling of this product is about. It is not even have original ingredients.,Positive
Clean,I was travelling last night and called the cleaning team to my coach for cleaning.they came very quickly and gave better service than before.,Positive
Police,"Also, 1,508 destitute minor girls and boys were rescued and restored to their parents or non-Governmental Organizations Integrated security system consisting of IP based CCTV Surveillance System, Access Control, Personal and Baggage Screening System and Bomb Detection and Disposal System is in place to strengthen surveillance mechanism at 202 sensitive railway stations of IR.",Positive
Food,"Hi, I have to have black tea everyday. I have done it in the past 25 years and it's a habit of mine. The railways tea is one of my favorites and I highly recommend it if you like. ",Negative
Police,The RPF is also developing a mobile app for its use that reports crimes on the spot.,Neutral
Food,"My son is allergic to milk products.  Act II Butter Flavor Microwave popcorn is one of the only microwave popcorns he can eat.  Sadly, the same buttery flavor in the form of this salt contains milk even though their microwave product doesn't.I was going to combine this 50/50 with Flavorcol for the PERFECT popcorn salt.",Positive
Food,Not a Good snack for those trying to avoid dairy or sugar. The mild ginger taste makes it bad.,Negative
Police,"Indian Railways to protect female train passengers with panic button, CCTV.",Neutral
Maintainance,This is to launch a scheme wherein different Self Help Groups (SHGs) will be promoted to provide chilled water to passengers at cheaper rates using vending machines at stations.,Neutral
Food,I really like this product.  It tasted great and only took a few minutes to deliver in the coach.,Positive
Food,My family believes in an apple a day so this is not a solution when you can't eat fresh. But It's so inconvenient and tasteless that one can not eat.,Negative
Maintainance,"Next year, India will get several airport-like railways stations, which will be a massive change as railways stations are hardly seen as attractive places.",Positive
Food,Tried this for the first time and had to dump an otherwise good cup of coffee.,Positive
Police,Last week while I was at delhi railway station saw a man snatched the wallet from the pocket and ran away and the man kept shouting and running behind the thief but no one helped him.,Negative
Police,"Passengers safety in focus! Indian Railways looks to step up security, 100 more RPF barracks on the anvil.",Positive
Food,Fast shipping. Smells good when you open the bag - tastes like the fresh food.,Positive
Clean,sense of hygiene in railway is growing day by day.happy to see it.,Neutral
Police,"My name is deepa gangaram yadav. I was travelling in kasara train on 11.02.2019 timing 6.51 from ghatkopar. During my travelling my wallet was got stolen which contains debit cards and credit card, pan card and money rs 3000/- approx. Please do the needful.",Neutral
